Route,Stop,Stops away,Distance
B57,SMITH ST/UNION ST,13,1.56
B57,SMITH ST/UNION ST,13,1.56
B57,SMITH ST/UNION ST,13,1.56
B57,SMITH ST/UNION ST,13,1.56
B57,SMITH ST/UNION ST,13,1.56
B57,SMITH ST/UNION ST,11,1.44
B57,SMITH ST/UNION ST,10,1.22
B57,SMITH ST/UNION ST,8,1.05
B57,SMITH ST/UNION ST,7,0.88
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.67
B57,SMITH ST/UNION ST,3,0.5
B57,SMITH ST/UNION ST,2,0.31
B57,SMITH ST/UNION ST,1,0.21
B57,SMITH ST/UNION ST,0,0.14
B57,SMITH ST/UNION ST,34,3.97
B57,SMITH ST/UNION ST,33,3.95
B57,SMITH ST/UNION ST,33,3.77
B57,SMITH ST/UNION ST,33,3.75
B57,SMITH ST/UNION ST,32,3.64
B57,SMITH ST/UNION ST,29,3.28
B57,SMITH ST/UNION ST,28,3.13
B57,SMITH ST/UNION ST,27,3.05
B57,SMITH ST/UNION ST,26,2.98
B57,SMITH ST/UNION ST,25,2.87
B57,SMITH ST/UNION ST,24,2.62
B57,SMITH ST/UNION ST,22,2.51
B57,SMITH ST/UNION ST,20,2.32
B57,SMITH ST/UNION ST,19,2.13
B57,SMITH ST/UNION ST,17,1.97
B57,SMITH ST/UNION ST,16,1.86
B57,SMITH ST/UNION ST,14,1.74
B57,SMITH ST/UNION ST,13,1.63
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,11,1.32
B57,SMITH ST/UNION ST,10,1.22
B57,SMITH ST/UNION ST,7,0.99
B57,SMITH ST/UNION ST,6,0.84
B57,SMITH ST/UNION ST,5,0.74
B57,SMITH ST/UNION ST,5,0.63
B57,SMITH ST/UNION ST,4,0.54
B57,SMITH ST/UNION ST,37,4.51
B57,SMITH ST/UNION ST,37,4.43
B57,SMITH ST/UNION ST,36,4.18
B57,SMITH ST/UNION ST,34,4.01
B57,SMITH ST/UNION ST,33,3.9
B57,SMITH ST/UNION ST,33,3.89
B57,SMITH ST/UNION ST,33,3.72
B57,SMITH ST/UNION ST,31,3.61
B57,SMITH ST/UNION ST,30,3.39
B57,SMITH ST/UNION ST,27,3.07
B57,SMITH ST/UNION ST,24,2.66
B57,SMITH ST/UNION ST,20,2.35
B57,SMITH ST/UNION ST,19,2.15
B57,SMITH ST/UNION ST,16,1.86
B57,SMITH ST/UNION ST,44,5.99
B57,SMITH ST/UNION ST,43,5.6
B57,SMITH ST/UNION ST,42,5.52
B57,SMITH ST/UNION ST,12,1.54
B57,SMITH ST/UNION ST,13,1.55
B57,SMITH ST/UNION ST,10,1.31
B57,SMITH ST/UNION ST,7,0.94
